City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Norman Wells,CA,65.282,-126.8329,25.12,96,10,3.91,clear sky
1,Coahuayana,MX,18.7333,-103.6833,78.33,88,45,2.53,scattered clouds
2,Isangel,VU,-19.55,169.2667,76.42,73,8,14.12,clear sky
3,Kapaa,US,22.0752,-159.319,82.38,72,20,4.0,few clouds
4,Mataura,NZ,-46.1927,168.8643,66.47,40,67,3.22,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,58.28,96,39,8.16,scattered clouds
6,Hermanus,ZA,-34.4187,19.2345,63.9,89,1,13.96,clear sky
7,Yellowknife,CA,62.456,-114.3525,36.41,100,100,9.22,light rain
8,Belyy Yar,RU,53.6039,91.3903,40.89,70,75,2.24,broken clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,31.05,83,100,14.85,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,94,7.0,overcast clouds
11,Thompson,CA,55.7435,-97.8558,48.97,70,97,8.9,overcast clouds
12,Busselton,AU,-33.65,115.3333,63.05,77,100,16.02,overcast clouds
13,Meulaboh,ID,4.1363,96.1285,84.15,67,96,3.18,overcast clouds
14,Constitucion,CL,-35.3333,-72.4167,52.5,67,0,4.63,clear sky
15,Iqaluit,CA,63.7506,-68.5145,36.7,74,77,5.01,broken clouds
16,Jamestown,US,42.097,-79.2353,65.34,95,2,1.99,clear sky
17,Rikitea,PF,-23.1203,-134.9692,74.07,78,100,16.8,overcast clouds
18,Klaksvik,FO,62.2266,-6.589,47.32,85,100,27.2,overcast clouds
19,Severo-Kurilsk,RU,50.6789,156.125,46.81,71,46,16.11,scattered clouds
20,Dikson,RU,73.5069,80.5464,30.33,84,97,13.15,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,64.11,67,0,1.01,clear sky
22,Virovitica,HR,45.8319,17.3839,53.02,97,100,13.04,overcast clouds
23,Georgetown,MY,5.4112,100.3354,84.88,84,40,3.0,scattered clouds
24,Peno,RU,56.9262,32.7426,35.04,87,1,5.23,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,41.11,75,10,13.62,clear sky
26,Mundo Nuevo,MX,18.7,-95.5,80.1,71,31,13.0,scattered clouds
27,Luderitz,NA,-26.6481,15.1594,57.24,72,0,6.11,clear sky
28,Albany,US,42.6001,-73.9662,55.38,94,0,1.81,clear sky
29,Sterling,US,39.0062,-77.4286,68.94,95,90,7.0,overcast clouds
30,Togul,RU,53.465,85.9128,34.16,99,100,10.0,light rain
31,Codrington,AU,-38.2667,141.9667,56.88,56,100,14.97,overcast clouds
32,Ca Mau,VN,9.1769,105.15,80.42,90,100,9.82,overcast clouds
33,Laguna,US,38.421,-121.4238,67.84,50,1,3.0,clear sky
34,Ushuaia,AR,-54.8,-68.3,34.38,94,66,4.21,broken clouds
35,Bluff,NZ,-46.6,168.3333,66.79,64,82,3.78,broken clouds
36,Hanna,CA,51.6334,-111.9018,38.86,69,33,5.01,scattered clouds
37,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,20,5.75,few clouds
38,Bac Lieu,VN,9.285,105.7244,79.07,89,100,12.01,overcast clouds
39,Longyearbyen,SJ,78.2186,15.6401,30.88,80,100,13.27,overcast clouds
40,Port Lincoln,AU,-34.7333,135.8667,61.02,46,77,8.52,broken clouds
41,Souillac,MU,-20.5167,57.5167,73.78,83,20,5.75,few clouds
42,Nikolskoye,RU,59.7035,30.7861,46.4,79,0,10.42,clear sky
43,Avarua,CK,-21.2078,-159.775,77.05,61,39,9.22,scattered clouds
44,Khatanga,RU,71.9667,102.5,16.21,93,85,4.61,overcast clouds
45,Bograd,RU,54.2344,90.8328,38.95,58,100,9.64,overcast clouds
46,Morondava,MG,-20.2833,44.2833,72.18,56,0,13.47,clear sky
47,Gat,IL,31.61,34.7642,66.81,62,0,4.83,clear sky
48,Ribeira Grande,PT,38.5167,-28.7,71.38,86,100,12.1,overcast clouds
49,Cherskiy,RU,68.75,161.3,15.4,94,56,6.13,broken clouds
50,Puerto Penasco,MX,31.3167,-113.5333,80.91,68,52,5.99,broken clouds
51,Kanigoro,ID,-8.13,112.219,84.0,55,89,9.35,overcast clouds
52,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,broken clouds
53,East London,ZA,-33.0153,27.9116,63.12,84,15,12.97,few clouds
54,Bathsheba,BB,13.2167,-59.5167,82.33,74,13,18.05,few clouds
55,Carutapera,BR,-1.195,-46.02,79.36,82,75,6.96,broken clouds
56,Vanavara,RU,60.34,102.2797,33.28,87,100,12.06,light snow
57,Esperance,AU,-33.8667,121.9,65.03,42,91,10.22,overcast clouds
58,Harqalah,TN,36.0303,10.509,71.46,64,20,13.8,few clouds
59,Hilo,US,19.7297,-155.09,75.25,89,74,1.01,broken clouds
60,Chokurdakh,RU,70.6333,147.9167,18.82,91,92,7.05,overcast clouds
61,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,75,9.22,fog
62,Port Arthur,CN,38.8,121.2667,64.9,48,36,18.12,scattered clouds
63,Hobart,AU,-42.8794,147.3294,59.05,48,20,4.0,few clouds
64,Victoria,HK,22.2855,114.1577,91.36,66,12,4.0,light rain
65,Geraldton,AU,-28.7667,114.6,70.21,37,0,13.8,clear sky
66,Lavrentiya,RU,65.5833,-171.0,36.61,97,100,6.29,overcast clouds
67,Vestmannaeyjar,IS,63.4427,-20.2734,44.96,83,100,39.41,overcast clouds
68,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.78,90,95,13.02,overcast clouds
69,Ilulissat,GL,69.2167,-51.1,21.22,63,97,1.14,overcast clouds
70,Lasa,IT,46.6166,10.7002,43.54,94,98,9.17,overcast clouds
71,Atuona,PF,-9.8,-139.0333,78.22,79,26,18.45,light rain
72,Nelson Bay,AU,-32.7167,152.15,87.96,28,98,8.01,overcast clouds
73,Hamilton,US,39.1834,-84.5333,71.42,91,90,1.99,heavy intensity rain
74,Linxia,CN,35.6003,103.2064,63.97,48,2,2.75,clear sky
75,Kaitangata,NZ,-46.2817,169.8464,66.72,47,76,4.12,broken clouds
76,Gaoua,BF,10.2992,-3.2508,74.71,83,96,4.38,overcast clouds
77,Mahebourg,MU,-20.4081,57.7,73.69,83,20,5.75,few clouds
78,De-Kastri,RU,51.4667,140.7833,47.59,48,27,7.45,scattered clouds
79,Scottsbluff,US,41.8666,-103.6672,68.43,43,77,1.01,broken clouds
80,Aklavik,CA,68.2191,-135.0107,24.37,90,79,6.76,broken clouds
81,Kailua,US,21.4022,-157.7394,82.02,71,13,23.55,few clouds
82,Moron,AR,-34.6534,-58.6198,51.96,63,2,3.0,clear sky
83,Ust-Barguzin,RU,53.45,108.9833,41.86,57,90,7.43,overcast clouds
84,Forbes,AU,-33.3833,148.0167,77.92,37,66,14.43,broken clouds
85,Wanning,CN,18.8003,110.3967,81.12,90,100,23.0,moderate rain
86,Coquimbo,CL,-29.9533,-71.3436,54.81,86,48,2.55,scattered clouds
87,Machali,CL,-34.1833,-70.6667,55.99,52,0,1.28,clear sky
88,Tasiilaq,GL,65.6145,-37.6368,32.16,58,6,5.84,clear sky
89,New Norfolk,AU,-42.7826,147.0587,58.71,42,26,4.0,scattered clouds
90,Port Alfred,ZA,-33.5906,26.891,63.68,89,13,20.27,few clouds
91,Bandarbeyla,SO,9.4942,50.8122,80.42,77,48,20.0,scattered clouds
92,Sobolevo,RU,54.4299,31.8996,33.51,70,4,6.78,clear sky
93,Ganzhou,CN,28.8184,115.4327,81.5,59,23,10.0,few clouds
94,Nioro,GM,13.35,-15.75,76.21,81,50,3.96,scattered clouds
95,Fairbanks,US,64.8378,-147.7164,37.36,81,75,0.0,broken clouds
96,Xuanhua,CN,40.6103,115.0447,58.44,56,21,3.09,few clouds
97,Hirara,JP,24.8,125.2833,83.08,78,64,13.0,broken clouds
98,Kimbe,PG,-5.5502,150.1429,84.81,74,70,3.29,light rain
99,Sorland,NO,67.667,12.6934,46.11,71,100,23.98,overcast clouds
100,Fort Nelson,CA,58.8053,-122.7002,30.02,86,48,4.29,scattered clouds
101,Castro,BR,-24.7911,-50.0119,63.03,99,100,0.47,moderate rain
102,Comodoro Rivadavia,AR,-45.8667,-67.5,55.47,43,100,9.28,overcast clouds
103,Sao Filipe,CV,14.8961,-24.4956,78.21,81,39,3.42,scattered clouds
104,Russell,US,32.3502,-85.1999,73.96,92,40,0.0,scattered clouds
105,Cidreira,BR,-30.1811,-50.2056,59.97,73,99,15.84,overcast clouds
106,Margate,GB,51.3813,1.3862,55.26,80,80,7.65,broken clouds
107,Trelew,AR,-43.249,-65.3051,50.05,39,7,12.3,clear sky
108,Mount Isa,AU,-20.7333,139.5,101.97,13,89,12.66,overcast clouds
109,Carnarvon,AU,-24.8667,113.6333,73.94,43,0,16.8,clear sky
110,Wajima,JP,37.4,136.9,73.76,65,2,3.36,clear sky
111,Usinsk,RU,65.9939,57.5281,42.8,87,100,16.49,overcast clouds
112,Pedernales,DO,18.0384,-71.744,82.15,68,59,4.9,broken clouds
113,Katsuura,JP,35.1333,140.3,71.71,73,92,9.82,overcast clouds
114,Kudahuvadhoo,MV,2.6708,72.8944,83.57,72,67,12.8,broken clouds
115,Ahipara,NZ,-35.1667,173.1667,62.33,78,100,5.3,heavy intensity rain
116,Talnakh,RU,69.4865,88.3972,34.75,100,100,5.66,overcast clouds
117,Torbay,CA,47.6666,-52.7314,52.75,88,11,4.0,few clouds
118,Houston,US,29.7633,-95.3633,76.91,70,2,1.01,clear sky
119,Provideniya,RU,64.3833,-173.3,42.91,75,90,6.71,overcast clouds
120,Bethel,US,41.3712,-73.414,61.48,94,75,0.0,broken clouds
121,Mangrol,IN,21.1167,70.1167,84.25,74,92,7.54,overcast clouds
122,Olinda,BR,-8.0089,-34.8553,78.53,78,40,11.5,scattered clouds
123,Shellbrook,CA,53.2168,-106.4011,64.63,34,100,2.28,overcast clouds
124,Biak,ID,-0.9131,122.8766,83.61,66,95,7.43,overcast clouds
125,Oulu,FI,65.0124,25.4682,53.71,89,90,4.0,overcast clouds
126,Qaanaaq,GL,77.484,-69.3632,19.58,58,6,7.14,clear sky
127,Tuatapere,NZ,-46.1333,167.6833,66.81,61,96,8.43,overcast clouds
128,Pevek,RU,69.7008,170.3133,26.33,77,100,10.4,overcast clouds
129,Srednekolymsk,RU,67.45,153.6833,27.48,64,47,6.8,scattered clouds
130,Arroyo,ES,41.6096,-4.7969,57.18,58,0,6.91,clear sky
131,Kavieng,PG,-2.5744,150.7967,82.92,69,100,1.99,overcast clouds
132,College,US,64.8569,-147.8028,40.66,79,75,0.0,broken clouds
133,Saldanha,ZA,-33.0117,17.9442,58.26,89,0,19.51,clear sky
134,La Roche-Sur-Yon,FR,46.6667,-1.4333,49.55,100,38,2.3,scattered clouds
135,Shihezi,CN,44.3,86.0333,42.37,41,100,4.99,overcast clouds
136,Pietrosani,RO,45.1833,24.85,50.18,85,100,4.21,overcast clouds
137,Mirnyy,RU,62.5353,113.9611,30.43,87,100,12.77,light snow
138,Aden,YE,12.7794,45.0367,86.04,82,10,10.13,clear sky
139,Sawakin,SD,19.1059,37.3321,83.3,60,6,4.72,clear sky
140,Tautira,PF,-17.7333,-149.15,80.62,79,28,10.45,scattered clouds
141,Butaritari,KI,3.0707,172.7902,81.88,69,64,12.26,broken clouds
142,Huarmey,PE,-10.0681,-78.1522,62.98,89,45,8.99,scattered clouds
143,Turukhansk,RU,65.8167,87.9833,37.53,99,100,8.75,light rain
144,Brainerd,US,46.358,-94.2008,63.09,82,1,0.0,clear sky
